year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2010,8,2,D,335,330,369,1251
2010,8,2,E,315,315,583,43501
2010,9,1,A,631,628,775,33089
2010,9,1,B,479,479,757,44129
2010,9,1,C,204,190,291,33000
2010,9,1,D,342,329,453,1502
2010,9,1,E,310,308,460,44001
2010,9,2,A,597,547,993,30001
2010,9,2,B,488,488,648,42501
2010,9,2,C,206,201,271,31001
2010,9,2,D,338,337,364,1452
2010,9,2,E,309,307,520,43290
2010,10,1,A,601,601,722,33132
2010,10,1,B,479,476,630,42801
2010,10,1,C,218,217,287,30889
2010,10,1,D,345,320,422,1502
2010,10,1,E,311,304,518,44090
2010,10,2,A,647,647,817,32415
2010,10,2,B,479,478,766,44600
2010,10,2,C,210,210,287,30511
2010,10,2,D,333,304,430,1689
2010,10,2,E,311,287,455,44900
2010,11,1,A,598,598,843,34001
2010,11,1,B,482,482,718,45501
2010,11,1,C,205,201,270,31006
2010,11,1,D,357,352,414,1452
2010,11,1,E,316,312,497,46001
2010,11,2,A,597,577,833,39000
2010,11,2,B,480,459,709,47890
2010,11,2,C,205,202,241,31202
2010,11,2,D,361,324,424,1502
2010,11,2,E,333,332,634,49890
2010,12,1,A,598,582,1020,47604
2010,12,1,B,479,477,1034,62502
2010,12,1,C,208,207,294,32001
2010,12,1,D,337,329,410,1701
2010,12,1,E,313,313,674,64900
2010,12,2,A,617,607,755,46129
2010,12,2,B,499,494,872,72001
2010,12,2,C,208,205,300,33501
2010,12,2,D,369,362,406,1551
2010,12,2,E,311,302,463,76102
2011,1,1,A,614,602,1192,38889
2011,1,1,B,481,474,790,69000
2011,1,1,C,205,205,294,35111
2011,1,1,D,340,337,398,1503
2011,1,1,E,309,305,475,75789
2011,1,2,A,607,606,1091,40123
2011,1,2,B,483,482,700,58910
2011,1,2,C,207,196,272,30000
2011,1,2,D,339,335,458,1690
2011,1,2,E,319,312,433,67009
2011,2,1,A,523,501,1146,37124
2011,2,1,B,431,431,640,53400
2011,2,1,C,275,275,356,28589
2011,2,1,D,328,328,417,1819
2011,2,1,E,333,326,648,58890
2011,2,2,A,511,494,788,42999
2011,2,2,B,424,423,726,62000
2011,2,2,C,287,282,368,29011
2011,2,2,D,330,294,461,2001
2011,2,2,E,336,335,558,62001
2011,3,1,A,532,530,875,42600
2011,3,1,B,424,423,667,61894
2011,3,1,C,276,276,360,30001
2011,3,1,D,325,310,490,2604
2011,3,1,E,336,324,574,62010
2011,3,2,A,527,472,927,43813
2011,3,2,B,424,424,579,57002
2011,3,2,C,281,279,371,29690
2011,3,2,D,362,362,429,2534
2011,3,2,E,330,330,458,59073
2011,4,1,A,512,511,813,43212
2011,4,1,B,425,410,542,55001
2011,4,1,C,276,275,316,28189
2011,4,1,D,340,335,500,2490
2011,4,1,E,341,340,454,57100
2011,4,2,A,565,552,964,44000
2011,4,2,B,423,422,627,56801
2011,4,2,C,277,269,346,23900
2011,4,2,D,326,326,478,2502
2011,4,2,E,330,329,484,56001
2011,5,1,A,511,511,944,44790
2011,5,1,B,439,439,650,56011
2011,5,1,C,277,277,366,21889
2011,5,1,D,330,328,481,2253
2011,5,1,E,330,321,498,56490
2011,5,2,A,523,521,760,46989
2011,5,2,B,424,424,564,56300
2011,5,2,C,283,279,381,22989
2011,5,2,D,326,324,486,2013
2011,5,2,E,331,322,470,56889
2011,6,1,A,510,506,880,53390
2011,6,1,B,424,403,759,63000
2011,6,1,C,276,276,457,29006
2011,6,1,D,327,327,507,2491
2011,6,1,E,338,295,530,62000
2011,6,2,A,512,512,715,50244
2011,6,2,B,423,410,684,67700
2011,6,2,C,279,270,391,31089
2011,6,2,D,328,322,367,2290
2011,6,2,E,339,334,468,65490
2011,7,1,A,514,497,839,55989
2011,7,1,B,445,444,728,68501
2011,7,1,C,276,276,375,32590
2011,7,1,D,325,323,369,2360
2011,7,1,E,372,342,509,68811
2011,7,2,A,510,501,776,56002
2011,7,2,B,436,436,626,72501
2011,7,2,C,284,281,393,34502
2011,7,2,D,332,332,496,2012
2011,7,2,E,335,328,459,74490
2011,8,1,A,566,566,1034,48801
2011,8,1,B,354,349,469,70890
2011,8,1,C,241,239,383,34009
2011,8,1,D,390,390,470,1890
2011,8,1,E,360,360,488,70117
2011,8,2,A,557,557,927,49301
2011,8,2,B,353,353,527,65521
2011,8,2,C,245,237,367,32289
2011,8,2,D,387,382,471,1999
2011,8,2,E,337,335,516,67000
2011,9,1,A,548,547,794,51000
2011,9,1,B,359,356,496,63002
2011,9,1,C,243,236,328,31900
2011,9,1,D,388,382,532,2339
2011,9,1,E,330,329,466,65589
2011,9,2,A,548,531,951,48006
2011,9,2,B,353,353,469,64889
2011,9,2,C,250,248,325,30089
2011,9,2,D,392,392,492,2109
2011,9,2,E,332,332,449,62502
2011,10,1,A,549,549,793,50289
2011,10,1,B,356,353,524,63600
2011,10,1,C,249,247,348,32801
2011,10,1,D,394,394,486,2078
2011,10,1,E,331,331,452,65058
2011,10,2,A,565,554,873,56112
2011,10,2,B,353,353,633,75889
2011,10,2,C,244,229,354,37011
2011,10,2,D,387,380,486,2091
2011,10,2,E,330,306,518,73600
2011,11,1,A,548,547,766,55997
2011,11,1,B,356,355,551,77000
2011,11,1,C,244,244,365,40803
2011,11,1,D,388,359,429,2012
2011,11,1,E,330,311,507,78001
2011,11,2,A,559,541,756,54887
2011,11,2,B,353,338,518,77340
2011,11,2,C,256,248,335,40189
2011,11,2,D,394,389,469,1889
2011,11,2,E,355,352,496,75889
2011,12,1,A,549,543,781,52392
2011,12,1,B,354,351,474,72350
2011,12,1,C,242,242,334,40009
2011,12,1,D,416,415,451,1902
2011,12,1,E,349,335,489,74340
2011,12,2,A,566,457,878,50001
2011,12,2,B,368,368,464,70003
2011,12,2,C,249,249,361,39589
2011,12,2,D,392,386,456,1481
2011,12,2,E,334,285,521,71000
2012,1,1,A,554,554,901,46889
2012,1,1,B,356,356,511,65801
2012,1,1,C,242,239,357,38699
2012,1,1,D,388,386,434,1682
2012,1,1,E,344,341,530,65700
2012,1,2,A,657,652,903,48112
2012,1,2,B,353,351,537,67889
2012,1,2,C,241,236,405,44001
2012,1,2,D,393,390,517,1552
2012,1,2,E,380,375,538,67101
2012,2,1,A,619,571,1058,52809
2012,2,1,B,350,346,635,73890
2012,2,1,C,162,158,307,49801
2012,2,1,D,412,409,512,1802
2012,2,1,E,312,312,425,73801
2012,2,2,A,624,607,1017,57009
2012,2,2,B,351,348,580,78189
2012,2,2,C,164,149,248,52004
2012,2,2,D,413,389,509,2012
2012,2,2,E,314,296,507,78000
2012,3,1,A,667,649,912,56551
2012,3,1,B,354,352,626,79304
2012,3,1,C,163,159,247,50009
2012,3,1,D,413,407,474,1490
2012,3,1,E,309,309,492,76881
2012,3,2,A,636,626,1067,56501
2012,3,2,B,352,352,529,82003
2012,3,2,C,174,174,241,51511
2012,3,2,D,434,433,584,2000
2012,3,2,E,327,327,449,80101
2012,4,1,A,637,615,960,58501
2012,4,1,B,352,348,483,83700
2012,4,1,C,163,163,222,53989
2012,4,1,D,416,416,542,1896
2012,4,1,E,309,307,413,84590
2012,4,2,A,629,618,1011,64201
2012,4,2,B,349,349,563,91000
2012,4,2,C,160,158,261,57589
2012,4,2,D,411,411,526,1924
2012,4,2,E,308,295,447,92010
2012,5,1,A,641,593,822,62600
2012,5,1,B,354,354,545,92050
2012,5,1,C,159,159,218,58553
2012,5,1,D,410,410,514,2021
2012,5,1,E,311,304,457,88990
2012,5,2,A,630,617,945,58001
2012,5,2,B,349,349,482,85216
2012,5,2,C,162,161,205,57106
2012,5,2,D,410,410,520,1890
2012,5,2,E,321,312,544,86889
2012,6,1,A,668,647,1004,59003
2012,6,1,B,350,342,490,83000
2012,6,1,C,159,155,258,54522
2012,6,1,D,410,368,569,1912
2012,6,1,E,315,311,526,85889
2012,6,2,A,633,577,920,59004
2012,6,2,B,349,346,477,85400
2012,6,2,C,161,158,242,54502
2012,6,2,D,410,393,517,1712
2012,6,2,E,317,315,427,84389
2012,7,1,A,641,613,872,59421
2012,7,1,B,358,358,459,82289
2012,7,1,C,164,161,234,55556
2012,7,1,D,451,442,592,1760
2012,7,1,E,312,295,410,86999
2012,7,2,A,676,669,911,68656
2012,7,2,B,353,352,549,90501
2012,7,2,C,163,162,222,55805
2012,7,2,D,426,425,531,1859
2012,7,2,E,310,306,429,92700
2012,8,1,A,421,415,724,73501
2012,8,1,B,350,345,489,94502
2012,8,1,C,183,180,241,57001
2012,8,1,D,456,453,659,2081
2012,8,1,E,260,258,354,95034
2012,8,2,A,400,391,530,66889
2012,8,2,B,351,351,532,88002
2012,8,2,C,181,178,261,59334
2012,8,2,D,448,444,535,2013
2012,8,2,E,247,238,301,93990
2012,9,1,A,399,391,518,68000
2012,9,1,B,355,355,466,80191
2012,9,1,C,183,177,269,57334
2012,9,1,D,450,450,575,1801
2012,9,1,E,245,245,349,87999
2012,9,2,A,402,402,486,63000
2012,9,2,B,351,349,523,88500
2012,9,2,C,182,181,230,57809
2012,9,2,D,450,434,566,1852
2012,9,2,E,252,245,421,89990
2012,10,1,A,401,399,506,69000
2012,10,1,B,350,350,414,80001
2012,10,1,C,186,185,221,56001
2012,10,1,D,447,413,631,1912
2012,10,1,E,243,242,312,86889
2012,10,2,A,393,390,509,71001
2012,10,2,B,353,353,540,85801
2012,10,2,C,180,180,229,57889
2012,10,2,D,463,462,605,1920
2012,10,2,E,249,233,371,87000
2012,11,1,A,395,393,621,77201
2012,11,1,B,350,350,573,92400
2012,11,1,C,181,180,268,59111
2012,11,1,D,481,478,580,1959
2012,11,1,E,244,241,401,92100
2012,11,2,A,396,393,540,77291
2012,11,2,B,351,342,487,93004
2012,11,2,C,179,177,254,60235
2012,11,2,D,448,441,523,1689
2012,11,2,E,258,250,352,93990
2012,12,1,A,395,378,482,78523
2012,12,1,B,350,337,493,90200
2012,12,1,C,181,168,281,63035
2012,12,1,D,450,435,602,1612
2012,12,1,E,246,233,329,97000
2012,12,2,A,395,378,499,81889
2012,12,2,B,360,360,478,93501
2012,12,2,C,182,178,242,62201
2012,12,2,D,454,440,522,1701
2012,12,2,E,250,241,406,95990
2013,1,1,A,410,409,555,92100
2013,1,1,B,363,363,470,96210
2013,1,1,C,193,188,244,60000
2013,1,1,D,462,462,523,1933
2013,1,1,E,256,256,393,96101
2013,1,2,A,409,409,489,91010
2013,1,2,B,351,351,452,95501
2013,1,2,C,184,184,262,57051
2013,1,2,D,461,461,530,1781
2013,1,2,E,251,248,344,97889
2013,2,1,A,335,333,418,87109
2013,2,1,B,302,278,431,92901
2013,2,1,C,230,230,316,54989
2013,2,1,D,506,502,637,1782
2013,2,1,E,238,221,295,94890
2013,2,2,A,333,329,427,78301
2013,2,2,B,303,299,409,92667
2013,2,2,C,225,225,285,53489
2013,2,2,D,506,469,589,1512
2013,2,2,E,241,200,370,91910
2013,3,1,A,336,329,1180,74689
2013,3,1,B,326,326,1028,58090
2013,3,1,C,225,223,374,53900
2013,3,1,D,510,510,669,1895
2013,3,1,E,255,248,1036,65001
2013,3,2,A,337,337,923,64209
2013,3,2,B,307,300,940,73900
2013,3,2,C,225,225,312,54111
2013,3,2,D,543,543,634,1909
2013,3,2,E,279,277,635,73301
2013,4,1,A,341,339,966,61029
2013,4,1,B,302,287,835,67010
2013,4,1,C,227,227,334,56011
2013,4,1,D,506,412,680,1812
2013,4,1,E,245,244,450,66989
2013,4,2,A,333,333,993,62497
2013,4,2,B,310,281,683,62000
2013,4,2,C,225,218,354,58502
2013,4,2,D,506,505,545,1791
2013,4,2,E,240,227,421,62000
2013,5,1,A,336,329,912,62999
2013,5,1,B,317,317,601,61700
2013,5,1,C,225,223,312,57051
2013,5,1,D,600,595,719,1700
2013,5,1,E,239,238,447,62301
2013,5,2,A,333,324,888,64839
2013,5,2,B,332,329,749,67304
2013,5,2,C,233,232,288,56889
2013,5,2,D,507,459,642,1663
2013,5,2,E,251,239,466,66701
2013,6,1,A,341,336,855,67301
2013,6,1,B,302,274,732,75000
2013,6,1,C,227,226,292,57989
2013,6,1,D,511,479,616,1701
2013,6,1,E,239,189,534,76000
2013,6,2,A,342,341,788,69903
2013,6,2,B,305,304,734,81751
2013,6,2,C,227,221,289,59001
2013,6,2,D,554,534,647,1712
2013,6,2,E,251,250,466,83001
2013,7,1,A,338,328,716,73100
2013,7,1,B,331,325,652,77110
2013,7,1,C,226,226,301,61011
2013,7,1,D,538,536,679,1610
2013,7,1,E,288,284,485,77000
2013,7,2,A,334,332,621,73989
2013,7,2,B,303,301,574,76389
2013,7,2,C,232,226,335,65036
2013,7,2,D,526,516,652,1712
2013,7,2,E,240,237,425,76802
2013,8,1,A,373,371,754,75556
2013,8,1,B,380,373,682,77600
2013,8,1,C,258,257,364,68251
2013,8,1,D,482,481,568,1792
2013,8,1,E,264,261,407,77989
2013,8,2,A,366,360,596,76223
2013,8,2,B,375,371,627,76607
2013,8,2,C,263,257,385,71001
2013,8,2,D,491,449,615,1722
2013,8,2,E,264,264,385,79223
2013,9,1,A,366,365,609,77304
2013,9,1,B,381,378,623,77100
2013,9,1,C,258,254,340,73999
2013,9,1,D,481,481,569,1660
2013,9,1,E,263,181,431,80000
2013,9,2,A,370,361,654,83751
2013,9,2,B,377,368,703,86239
2013,9,2,C,263,257,321,76001
2013,9,2,D,523,521,579,1703
2013,9,2,E,261,253,459,87001
2013,10,1,A,365,361,615,85000
2013,10,1,B,376,373,649,93500
2013,10,1,C,261,261,315,76310
2013,10,1,D,481,475,567,1961
2013,10,1,E,342,330,483,93889
2013,10,2,A,373,373,596,76889
2013,10,2,B,382,376,515,87910
2013,10,2,C,263,262,358,68002
2013,10,2,D,482,481,586,1804
2013,10,2,E,269,264,337,92289
2013,11,1,A,368,368,590,72609
2013,11,1,B,376,376,482,84578
2013,11,1,C,257,256,427,55503
2013,11,1,D,487,487,569,1710
2013,11,1,E,273,270,379,89001
2013,11,2,A,364,361,650,74991
2013,11,2,B,379,375,536,79300
2013,11,2,C,258,252,397,55002
2013,11,2,D,481,437,543,1712
2013,11,2,E,266,259,410,83000
2013,12,1,A,364,364,591,73160
2013,12,1,B,373,360,549,73010
2013,12,1,C,258,257,359,51112
2013,12,1,D,481,473,647,1782
2013,12,1,E,264,264,365,76901
2013,12,2,A,367,363,574,74002
2013,12,2,B,377,357,500,75700
2013,12,2,C,263,256,338,48001
2013,12,2,D,524,501,680,1812
2013,12,2,E,268,268,375,77501
2014,1,1,A,364,361,623,72369
2014,1,1,B,386,377,581,78700
2014,1,1,C,258,252,337,48889
2014,1,1,D,489,487,542,1989
2014,1,1,E,261,244,392,79000
2014,1,2,A,368,364,724,72290
2014,1,2,B,393,388,512,79000
2014,1,2,C,264,249,356,50001
2014,1,2,D,503,503,796,2704
2014,1,2,E,261,259,373,78810
2014,2,1,A,362,356,719,71564
2014,2,1,B,360,360,523,75300
2014,2,1,C,267,264,364,51002
2014,2,1,D,361,353,550,3051
2014,2,1,E,208,205,351,77003
2014,2,2,A,362,358,700,77201
2014,2,2,B,355,353,519,78604
2014,2,2,C,277,273,392,52890
2014,2,2,D,360,359,478,3501
2014,2,2,E,193,191,321,79000
2014,3,1,A,365,356,615,76999
2014,3,1,B,350,337,499,80710
2014,3,1,C,265,262,439,56302
2014,3,1,D,368,340,483,4001
2014,3,1,E,193,185,292,82000
2014,3,2,A,362,360,577,78602
2014,3,2,B,353,352,524,82900
2014,3,2,C,266,256,356,53891
2014,3,2,D,360,355,449,4289
2014,3,2,E,193,192,293,84001
2014,4,1,A,367,360,537,77400
2014,4,1,B,363,363,523,84504
2014,4,1,C,265,261,303,49503
2014,4,1,D,388,388,520,4489
2014,4,1,E,199,197,283,84100
2014,4,2,A,361,357,513,71335
2014,4,2,B,351,349,486,75010
2014,4,2,C,272,266,392,32890
2014,4,2,D,365,350,492,4502
2014,4,2,E,192,192,310,73810
2014,5,1,A,513,512,676,60002
2014,5,1,B,483,472,778,70002
2014,5,1,C,389,389,715,36301
2014,5,1,D,343,340,445,4001
2014,5,1,E,295,295,525,65501
2014,5,2,A,509,506,997,65689
2014,5,2,B,484,477,716,68103
2014,5,2,C,392,386,709,40889
2014,5,2,D,358,316,492,4003
2014,5,2,E,294,285,497,67290
2014,6,1,A,507,499,1040,63190
2014,6,1,B,494,484,807,67304
2014,6,1,C,385,378,617,43001
2014,6,1,D,346,346,449,4089
2014,6,1,E,293,292,465,67334
2014,6,2,A,509,506,1040,61899
2014,6,2,B,490,475,716,65700
2014,6,2,C,391,385,597,42001
2014,6,2,D,385,381,503,3890
2014,6,2,E,302,276,434,65301
2014,7,1,A,513,511,1075,61990
2014,7,1,B,493,491,812,64889
2014,7,1,C,392,383,653,43390
2014,7,1,D,344,343,415,4001
2014,7,1,E,294,288,441,63001
2014,7,2,A,509,505,1190,62890
2014,7,2,B,498,497,850,65001
2014,7,2,C,391,391,779,52010
2014,7,2,D,347,341,410,4252
2014,7,2,E,319,317,483,65002
2014,8,1,A,574,574,1086,64600
2014,8,1,B,507,501,1090,68689
2014,8,1,C,267,267,519,54009
2014,8,1,D,316,315,360,4353
2014,8,1,E,245,243,429,69001
2014,8,2,A,575,574,994,65710
2014,8,2,B,506,502,1137,72990
2014,8,2,C,257,254,427,52390
2014,8,2,D,322,317,361,4354
2014,8,2,E,241,224,358,72810
2014,9,1,A,572,568,813,64841
2014,9,1,B,511,511,909,73010
2014,9,1,C,258,256,429,49901
2014,9,1,D,316,316,382,4453
2014,9,1,E,241,235,385,74403
2014,9,2,A,573,573,792,62000
2014,9,2,B,509,507,785,71990
2014,9,2,C,261,252,437,49889
2014,9,2,D,320,318,394,4504
2014,9,2,E,256,252,395,74801
2014,10,1,A,575,570,1097,63880
2014,10,1,B,505,501,852,72180
2014,10,1,C,259,257,516,57389
2014,10,1,D,316,316,502,4800
2014,10,1,E,245,236,390,72003
2014,10,2,A,572,569,1092,63990
2014,10,2,B,507,506,822,72002
2014,10,2,C,267,266,416,61000
2014,10,2,D,317,310,431,4412
2014,10,2,E,242,242,335,72201
2014,11,1,A,703,692,1196,64900
2014,11,1,B,574,559,832,70890
2014,11,1,C,143,143,257,63701
2014,11,1,D,316,315,380,4290
2014,11,1,E,272,271,403,71300
2014,11,2,A,701,694,1144,67889
2014,11,2,B,570,560,900,72890
2014,11,2,C,142,134,260,65001
2014,11,2,D,324,322,389,4189
2014,11,2,E,263,263,382,73900
2014,12,1,A,709,703,996,67089
2014,12,1,B,584,582,873,74389
2014,12,1,C,141,126,196,60001
2014,12,1,D,318,314,392,4210
2014,12,1,E,265,257,370,76904
2014,12,2,A,705,699,868,65889
2014,12,2,B,579,572,755,74000
2014,12,2,C,149,149,268,52100
2014,12,2,D,319,270,367,4312
2014,12,2,E,264,264,446,73990
2015,1,1,A,704,698,940,66010
2015,1,1,B,571,570,833,75289
2015,1,1,C,156,155,296,55011
2015,1,1,D,321,319,374,4403
2015,1,1,E,272,265,386,75200
2015,1,2,A,705,703,1068,65001
2015,1,2,B,576,576,915,76889
2015,1,2,C,140,139,247,55012
2015,1,2,D,366,360,509,4889
2015,1,2,E,264,246,431,76790
2015,2,1,A,992,991,1295,62002
2015,2,1,B,724,723,959,70890
2015,2,1,C,185,183,311,52101
2015,2,1,D,287,283,384,5504
2015,2,1,E,181,181,288,71921
2015,2,2,A,988,988,1294,57199
2015,2,2,B,722,721,1037,66751
2015,2,2,C,185,185,333,53202
2015,2,2,D,291,290,396,5800
2015,2,2,E,193,193,373,67901
2015,3,1,A,987,986,2120,61410
2015,3,1,B,723,723,1239,68668
2015,3,1,C,186,183,315,56501
2015,3,1,D,289,288,343,5501
2015,3,1,E,175,162,322,70500
2015,3,2,A,987,987,2251,64700
2015,3,2,B,723,717,1354,71889
2015,3,2,C,184,175,345,59999
2015,3,2,D,286,286,385,5610
2015,3,2,E,174,172,290,72100
2015,4,1,A,988,970,2340,67749
2015,4,1,B,722,716,1661,76612
2015,4,1,C,188,183,290,64001
2015,4,1,D,286,278,442,6312
2015,4,1,E,187,165,311,78000
2015,4,2,A,987,979,2055,67601
2015,4,2,B,728,708,1525,78001
2015,4,2,C,194,192,284,53001
2015,4,2,D,285,277,376,6801
2015,4,2,E,176,163,331,79500
2015,5,1,A,1444,1438,2891,68589
2015,5,1,B,934,934,1631,77600
2015,5,1,C,373,370,545,50098
2015,5,1,D,334,321,462,6512
2015,5,1,E,292,290,445,78004
2015,5,2,A,1434,1431,2351,66590
2015,5,2,B,948,948,1401,75002
2015,5,2,C,370,365,546,52001
2015,5,2,D,334,298,433,6501
2015,5,2,E,283,281,364,78001
2015,6,1,A,1432,1393,1943,66000
2015,6,1,B,929,923,1384,75000
2015,6,1,C,371,369,508,50900
2015,6,1,D,339,336,430,6509
2015,6,1,E,272,267,392,75801
2015,6,2,A,1429,1421,1766,61000
2015,6,2,B,928,926,1144,71509
2015,6,2,C,373,370,481,50502
2015,6,2,D,363,359,448,6401
2015,6,2,E,272,269,373,74501
2015,7,1,A,1466,1464,1891,58700
2015,7,1,B,934,933,1225,65501
2015,7,1,C,370,370,476,50001
2015,7,1,D,330,328,425,6508
2015,7,1,E,274,272,411,69001
2015,7,2,A,1435,1365,1966,55889
2015,7,2,B,930,929,1218,58109
2015,7,2,C,371,371,455,50002
2015,7,2,D,331,320,486,6312
2015,7,2,E,272,270,441,60101
2015,8,1,A,1688,1687,2446,56209
2015,8,1,B,1057,1054,1634,60789
2015,8,1,C,183,183,263,49302
2015,8,1,D,356,356,418,6201
2015,8,1,E,363,361,607,57885
2015,8,2,A,1756,1756,2597,57498
2015,8,2,B,1058,1056,1551,62140
2015,8,2,C,182,182,282,46501
2015,8,2,D,366,319,527,6112
2015,8,2,E,363,356,609,61001
2015,9,1,A,1688,1688,2553,57089
2015,9,1,B,1059,1058,1628,62101
2015,9,1,C,182,182,371,46801
2015,9,1,D,355,310,473,6512
2015,9,1,E,363,358,580,61010
2015,9,2,A,1687,1684,2276,55399
2015,9,2,B,1058,1041,1371,60001
2015,9,2,C,182,172,356,45289
2015,9,2,D,402,402,371,6158
2015,9,2,E,368,368,542,61300
2015,10,1,A,1687,1679,2210,56001
2015,10,1,B,1057,1044,1373,58190
2015,10,1,C,182,181,331,44890
2015,10,1,D,400,398,438,6201
2015,10,1,E,366,360,582,58801
2015,10,2,A,1690,1684,2229,57301
2015,10,2,B,1073,1069,1367,59889
2015,10,2,C,192,186,340,42303
2015,10,2,D,355,353,430,6302
2015,10,2,E,361,356,584,60000
2015,11,1,A,1664,1623,2009,56001
2015,11,1,B,1037,1031,1267,57501
2015,11,1,C,241,240,372,43809
2015,11,1,D,329,301,402,5912
2015,11,1,E,367,363,505,60689
2015,11,2,A,1662,1650,2140,59200
2015,11,2,B,1029,1026,1388,61103
2015,11,2,C,247,244,389,45890
2015,11,2,D,329,324,436,6502
2015,11,2,E,365,365,519,62019
2015,12,1,A,1698,1696,2132,56989
2015,12,1,B,1031,1028,1324,60001
2015,12,1,C,241,236,345,48101
2015,12,1,D,355,354,414,6501
2015,12,1,E,364,362,495,60003
2015,12,2,A,1669,1667,1978,54301
2015,12,2,B,1027,1025,1200,55001
2015,12,2,C,244,243,311,46001
2015,12,2,D,332,332,394,6600
2015,12,2,E,360,360,512,57501
2016,1,1,A,1659,1649,2013,45002
2016,1,1,B,1027,1019,1262,54920
2016,1,1,C,246,245,353,42036
2016,1,1,D,328,317,409,6889
2016,1,1,E,362,361,498,55089
2016,1,2,A,1659,1638,3437,51301
2016,1,2,B,1026,1026,1334,50089
2016,1,2,C,242,239,387,46502
2016,1,2,D,327,322,415,6512
2016,1,2,E,360,350,713,51000
2016,2,1,A,2038,2033,2972,46651
2016,2,1,B,1216,1216,1624,38610
2016,2,1,C,164,164,229,45036
2016,2,1,D,368,368,495,6503
2016,2,1,E,446,443,824,44001
2016,2,2,A,2049,2025,2965,43000
2016,2,2,B,1208,1197,2898,46970
2016,2,2,C,165,160,239,45001
2016,2,2,D,362,361,454,6353
2016,2,2,E,456,450,873,45009
2016,3,1,A,2033,1957,3518,45000
2016,3,1,B,1209,1200,2706,47604
2016,3,1,C,162,160,259,48890
2016,3,1,D,357,356,430,6503
2016,3,1,E,449,312,951,48002
2016,3,2,A,2053,2020,3836,45504
2016,3,2,B,1220,1218,2491,46502
2016,3,2,C,167,166,226,46502
2016,3,2,D,357,356,429,6589
2016,3,2,E,452,445,912,46667
2016,4,1,A,2105,2103,3719,46009
2016,4,1,B,1218,1218,2247,47000
2016,4,1,C,164,161,235,44213
2016,4,1,D,357,356,455,6503
2016,4,1,E,583,346,1397,47510
2016,4,2,A,2062,2061,3327,47300
2016,4,2,B,1211,1136,2364,49602
2016,4,2,C,163,162,241,43002
2016,4,2,D,357,341,437,6501
2016,4,2,E,453,433,834,49501
2016,5,1,A,2218,2217,3446,47889
2016,5,1,B,1462,1454,2435,51010
2016,5,1,C,232,232,324,42302
2016,5,1,D,399,389,519,6302
2016,5,1,E,750,728,1380,49000
2016,5,2,A,2217,2182,3227,47020
